time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Activity,Activity Confidence,Activity Start,Steps,Last Step Date,State
2014-11-13 21:15:42.998,12925,430.8333,40.10425,-88.22172,231,-1,-1,10,165,1415934930,0.981781,0.3458252,2.421021,-3.224087,7.576553,41.99304,272.0262,275.1094,10,0.02480229,0.07806098,-0.07398555,1.950461,2.764329,-0.1209451,-0.05585681,0.3183823,-0.02048908,0.5279133,0.3069009,1.192182,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.032,12926,430.8667,40.10425,-88.22172,231,-1,-1,10,165,1415934930,1.223801,0.1698151,2.910034,-3.671761,6.991112,42.29477,272.877,275.9602,10,0.3362544,-0.5756269,0.05833708,1.950503,2.766312,-0.1235633,0.2115043,-0.04316391,-0.0403779,0.6180418,0.2225761,1.497709,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.065,12927,430.9,40.10425,-88.22172,231,-1,-1,10,165,1415934930,1.161697,-0.4869537,3.368408,-3.637333,7.025551,42.12711,272.5127,275.5959,10,-0.05812349,-1.229257,-0.128326,1.94274,2.743743,-0.1384913,0.5210266,-0.8357564,-0.01068193,0.8963173,-0.2604703,2.233033,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.098,12928,430.9333,40.10425,-88.22172,231,-1,-1,10,165,1415934930,0.5245209,-0.7255554,2.663986,-3.15522,6.95668,41.4566,272,275.0832,10,-3.128117,-1.392874,0.1052194,1.945302,2.710911,-0.1405014,-0.6281598,-1.301553,-0.135148,0.5712885,-0.8113043,2.355888,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.132,12929,430.9667,40.10425,-88.22172,231,-1,-1,10,165,1415934930,0.3336792,-0.1368103,2.677765,-0.916851,3.685059,40.75262,267.6154,270.6986,10,-7.713696,-1.069032,1.057138,1.979134,2.674826,-0.06434201,-4.628627,-1.263459,0.4404949,-0.08259982,-0.7188386,1.6607,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.165,12930,431,40.10425,-88.22172,231,-1,-1,10,165,1415934930,0.3361816,1.381332,1.885376,-0.02150345,-0.2408829,40.01508,258.8351,261.9183,10,-10.22164,-0.2971859,1.804078,2.087701,2.633545,0.2324767,-9.76105,-0.1867901,1.570386,-0.1315432,0.3761402,1.811139,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.199,12931,431.0334,40.10425,-88.22172,231,-1,-1,10,165,1415934930,-0.8275299,4.340591,-0.425354,-0.2625542,-12.81079,39.04294,262.0802,265.1634,10,-5.382849,5.53294,0.1119201,2.200241,2.608654,0.5204174,-9.793431,2.24576,1.615161,-0.3350767,2.756626,0.9595437,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.231,12932,431.0667,40.10425,-88.22172,231,-1,-1,10,165,1415934930,1.293839,1.518143,-2.656052,-5.152534,-26.51716,35.42236,249.2129,252.2961,10,-7.332514,2.948139,1.17346,2.308771,2.738038,0.7730075,-7.256291,4.67892,1.901889,0.1397599,3.95856,-2.275852,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.265,12933,431.1,40.10425,-88.22172,231,-1,-1,10,165,1415934930,1.1698,0.2059174,-0.6128082,-7.59753,-31.71731,31.76828,140.8514,143.9346,10,-6.263308,-7.222368,-1.400875,2.415258,2.668276,0.9712163,-6.604163,-3.681481,-0.4819617,1.13805,1.684169,-2.536102,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.297,12934,431.1334,40.10425,-88.22172,231,-1,-1,10,165,1415934930,-0.2325134,0.3275146,0.4629059,-7.666401,-38.94931,23.25323,108.1655,111.2487,10,-3.809477,-11.253,-1.293296,2.493143,2.539791,1.019737,-6.193676,-7.154539,-1.384941,1.097181,1.138423,-1.780848,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.331,12935,431.1667,40.10425,-88.22172,231,-1,-1,10,165,1415934930,-4.269058,0.5093384,0.2897644,-1.398964,-42.87526,16.95078,128.1331,131.2163,10,0.06761713,-7.160572,0.8536843,2.796879,1.686982,1.09047,-0.9925315,-12.82139,0.7470869,-1.294845,1.74541,0.7746668,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.365,12936,431.2,40.10425,-88.22172,231,-1,-1,10,165,1415934930,-1.576294,0.05625916,0.2057037,4.455235,-44.52829,13.73245,154.4797,157.5629,10,-1.821689,3.40921,-0.609992,2.806586,1.444343,1.116018,-0.4218258,-3.075142,0.2782702,-4.704814,1.407697,0.3451626,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.398,12937,431.2334,40.10425,-88.22172,231,-1,-1,10,165,1415934930,-0.6680603,1.02919,-0.09248352,5.247276,-44.90711,12.62613,159.3766,162.4598,10,-1.00731,7.900016,-2.620008,2.943249,1.465592,1.079296,-1.924841,7.003788,-1.436763,-1.749674,1.325199,0.2180015,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.432,12938,431.2667,40.10425,-88.22172,231,-1,-1,10,165,1415934930,0.7915497,0.4779968,-0.111084,5.901569,-44.52829,11.1846,149.5043,152.5874,10,1.515345,7.403904,-3.577847,3.003932,1.647351,1.004342,-0.06284714,8.01206,-3.168642,-0.8311229,1.906767,-0.2955287,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.465,12939,431.3,40.10425,-88.22172,231,-1,-1,10,165,1415934930,1.241302,-0.1555786,0.3332672,6.521423,-43.9084,12.25739,149.4187,152.5019,10,3.919867,5.211993,-3.26615,2.945258,1.980929,0.8501302,3.257821,6.04279,-3.289102,0.3687631,1.041985,-0.2579899,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.498,12940,431.3333,40.10425,-88.22172,231,-1,-1,10,165,1415934930,1.19165,-0.1500397,0.5741882,8.380993,-40.94672,16.34723,144.0166,147.0998,10,6.180842,2.760514,-4.557058,2.8518,2.190721,0.6947529,5.384992,4.05372,-3.573974,0.662211,0.3091715,-0.06856466,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.532,12941,431.3667,40.10425,-88.22172,231,-1,-1,10,165,1415934930,1.491379,0.9963379,1.298874,11.58358,-34.71342,23.28668,147.5212,150.6044,10,6.269587,-0.6639346,-5.515897,2.770992,2.332411,0.3963314,6.327513,0.6291884,-5.196252,0.6491807,0.6042069,0.1024163,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.565,12942,431.4,40.10425,-88.22172,231,-1,-1,10,165,1415934930,1.443253,2.317703,2.506439,16.47356,-23.96874,31.3324,173.2844,176.3676,10,6.178737,-0.1507072,-6.367346,2.752276,2.308444,0.1401927,6.13618,-1.348544,-6.237711,0.8218955,1.813577,1.04636,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.598,12943,431.4333,40.10425,-88.22172,231,-1,-1,10,165,1415934930,1.528366,0.9589691,1.594498,18.71194,-17.32218,34.51715,194.7311,197.8143,10,7.116294,0.6886461,-5.611723,2.727968,2.324228,-0.1385814,7.518096,1.167261,-6.054493,0.7208992,2.179565,1.828853,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.632,12944,431.4667,40.10425,-88.22172,231,-1,-1,10,165,1415934930,1.092789,1.625443,1.216583,21.2258,-2.892609,38.10419,243.4174,246.5005,10,5.976414,1.649606,-4.217161,2.68543,2.334405,-0.3948301,6.411381,0.7859861,-4.68729,0.8615968,0.5743177,0.9561701,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.665,12945,431.5,40.10425,-88.22172,231,-1,-1,10,165,1415934930,0.6291351,1.475464,1.086472,20.0894,3.960556,38.47296,266.8782,269.9614,10,5.357385,2.124906,-4.211278,2.638403,2.358648,-0.6143834,5.887487,2.036162,-4.21594,0.7020644,0.9912485,0.7064767,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.698,12946,431.5334,40.10425,-88.22172,231,-1,-1,10,165,1415934930,0.5210876,1.390167,0.5988464,15.33716,16.5649,37.46725,305.6416,308.7248,10,4.901071,2.072539,-3.856372,2.608437,2.404032,-0.8200518,5.161268,2.172728,-4.057566,0.1703776,0.7442827,0.5815799,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.732,12947,431.5667,40.10425,-88.22172,231,-1,-1,10,165,1415934930,0.5405884,1.486008,0.5080109,7.692265,26.55194,34.91949,341.8765,344.9597,10,4.865239,4.400339,-2.340921,2.559143,2.462765,-1.059207,5.011548,3.151824,-2.591251,0.1542366,0.5811114,0.02227345,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.765,12948,431.6,40.10425,-88.22172,231,-1,-1,10,165,1415934930,0.8501282,1.572693,0.6106567,3.93869,30.09905,32.74042,349.1024,352.1856,10,4.004755,3.828984,-1.366267,2.442609,2.524738,-1.266915,4.434323,4.289781,-1.785924,0.4534627,0.4419815,0.2775276,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.798,12949,431.6334,40.10425,-88.22172,231,-1,-1,10,165,1415934930,-0.02610779,1.294235,0.4039154,-3.189659,35.50584,27.41016,9.734744,12.81793,10,4.010973,2.230411,-0.300489,2.237697,2.431233,-1.382492,3.999874,2.879756,-0.5434195,0.4077758,0.5062787,0.482244,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.832,12950,431.6667,40.10425,-88.22172,231,-1,-1,10,165,1415934930,-0.1258698,1.329407,0.374176,-8.010769,38.94965,20.10193,24.71541,27.7986,10,3.656877,1.357496,-0.1137545,1.558645,1.82012,-1.456558,3.991145,1.592102,-0.09797637,-0.1365731,0.3007533,0.3757886,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.865,12951,431.7,40.10425,-88.22172,231,-1,-1,10,165,1415934930,-0.09384155,1.127396,0.3575592,-9.284916,40.56826,16.716,28.68197,31.76516,10,2.857544,1.337131,-0.1872953,0.4888973,0.8115494,-1.422155,3.064712,1.313699,-0.1575394,-0.2193899,0.3564858,0.4718481,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.897,12952,431.7334,40.10425,-88.22172,231,-1,-1,10,165,1415934930,-0.03837585,0.8547516,0.2805328,-10.6968,42.53123,10.24594,33.5022,36.58539,10,2.443511,1.920139,-0.2580401,0.1675981,0.5417707,-1.358384,2.675056,1.785265,-0.2098557,-0.2025511,0.1498705,0.5381882,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
2014-11-13 21:15:43.932,12953,431.7667,40.10425,-88.22172,231,-1,-1,10,165,1415934930,0.05979919,0.6385956,0.2231598,-11.2478,43.63325,5.016205,37.20136,40.28455,10,1.478859,2.436614,-0.1678511,0.0006235148,0.4432586,-1.299381,2.085033,2.330259,-0.2599736,-0.1533579,-0.1086409,0.5227188,172.17.160.76,0.0.0.0,6,walking,0,2014-11-13 21:15:28.635,171,2014-11-13 21:15:41.072,2
