time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Activity,Activity Confidence,Activity Start,Steps,Last Step Date,State
2014-11-13 21:27:29.480,2676,89.2,40.10425,-88.22172,231,-1,-1,10,165,1415935612,-0.2783813,-0.6419067,0.6058502,-23.12849,-41.60183,11.75256,332.2761,335.3593,10,0.1428493,-0.0639393,-0.01573236,-2.324589,-2.625339,0.7524892,0.2042201,0.1525887,0.07088604,0.04691118,-0.001417526,0.01562875,172.17.160.76,0.0.0.0,1,walking,0,2014-11-13 21:27:24.021,413,2014-11-13 21:27:24.088,0
2014-11-13 21:27:29.513,2677,89.23334,40.10425,-88.22172,231,-1,-1,10,165,1415935612,-0.326828,-0.6578522,0.6328735,-22.92187,-41.3952,12.22189,332.071,335.1542,10,0.1792057,-0.1728221,-0.08013079,-2.318768,-2.629709,0.7451561,0.2342292,-0.1288802,-0.05384056,0.05816013,0.02954223,-0.02026046,172.17.160.76,0.0.0.0,1,walking,0,2014-11-13 21:27:24.021,413,2014-11-13 21:27:24.088,0
2014-11-13 21:27:29.547,2678,89.26667,40.10425,-88.22172,231,-1,-1,10,165,1415935612,-0.3475647,-0.6866455,0.664505,-22.88743,-41.01638,11.92017,331.8586,334.9418,10,0.1739864,0.0004324974,-0.07283,-2.314092,-2.634681,0.7415407,0.2407116,-0.04818987,-0.06193185,0.006047047,0.007532399,-0.003796217,172.17.160.76,0.0.0.0,1,walking,0,2014-11-13 21:27:24.021,413,2014-11-13 21:27:24.088,0
2014-11-13 21:27:29.580,2679,89.3,40.10425,-88.22172,231,-1,-1,10,165,1415935612,-0.3068695,-0.6634216,0.6739655,-22.88743,-40.672,12.65768,332.3944,335.4776,10,0.2156029,0.01095784,-0.08354523,-2.305138,-2.638392,0.7342945,0.2450801,0.09100825,-0.06121533,0.03058531,-0.01099719,0.01885334,172.17.160.76,0.0.0.0,1,walking,0,2014-11-13 21:27:24.021,413,2014-11-13 21:27:24.088,0
2014-11-13 21:27:29.613,2680,89.33334,40.10425,-88.22172,231,-1,-1,10,165,1415935612,-0.3147278,-0.6564331,0.677887,-23.16293,-40.94751,12.79181,332.3708,335.454,10,0.22621,-0.01339943,-0.07203691,-2.300079,-2.640136,0.7302817,0.2791986,0.07607457,-0.0667292,0.05124821,0.003657873,0.02069932,172.17.160.76,0.0.0.0,1,walking,0,2014-11-13 21:27:24.021,413,2014-11-13 21:27:24.088,0
2014-11-13 21:27:29.647,2681,89.36667,40.10425,-88.22172,231,-1,-1,10,165,1415935612,-0.3166656,-0.6811981,0.6941223,-23.33511,-40.98195,13.96512,332.3687,335.4519,10,0.1985219,0.0003802994,-0.07822956,-2.286922,-2.645972,0.7191802,0.2813557,0.06749215,-0.07739746,0.03083393,-0.006316692,0.03451597,172.17.160.76,0.0.0.0,1,walking,0,2014-11-13 21:27:24.021,413,2014-11-13 21:27:24.088,0
2014-11-13 21:27:29.680,2682,89.4,40.10425,-88.22172,231,-1,-1,10,165,1415935612,-0.2935028,-0.643631,0.6936951,-23.23181,-40.74088,14.19977,332.3406,335.4238,10,0.1238223,-0.1079837,-0.08064345,-2.280354,-2.648962,0.7136505,0.2076882,0.008182567,-0.0562044,0.05490872,-0.02118347,0.02632808,172.17.160.76,0.0.0.0,1,walking,0,2014-11-13 21:27:24.021,413,2014-11-13 21:27:24.088,0
2014-11-13 21:27:29.713,2683,89.43333,40.10425,-88.22172,231,-1,-1,10,165,1415935612,-0.3553009,-0.6542969,0.7083588,-22.853,-40.70644,14.43445,332.2746,335.3578,10,0.1100362,-0.1560655,-0.1169354,-2.274379,-2.654981,0.7099082,0.1746638,-0.1047087,-0.09276571,0.04567279,0.01705955,0.0304196,172.17.160.76,0.0.0.0,1,walking,0,2014-11-13 21:27:24.021,413,2014-11-13 21:27:24.088,0
2014-11-13 21:27:29.747,2684,89.46667,40.10425,-88.22172,231,-1,-1,10,165,1415935612,-0.3542328,-0.6204987,0.7104492,-22.78413,-40.70644,14.30032,324.0124,327.0956,10,0.01205746,-0.04980431,-0.1223778,-2.265026,-2.664592,0.7049442,0.08944725,0.00162001,-0.08763779,0.006102938,-0.02022158,0.02867742,172.17.160.76,0.0.0.0,1,walking,0,2014-11-13 21:27:24.021,413,2014-11-13 21:27:24.088,0
2014-11-13 21:27:29.780,2685,89.50001,40.10425,-88.22172,231,-1,-1,10,165,1415935612,-0.3178101,-0.6664124,0.6977539,-23.36954,-40.87863,14.73615,223.276,226.3592,10,-0.0188416,-0.07857497,-0.1351514,-2.25893,-2.669207,0.7006417,0.06822905,-0.007139892,-0.1226239,0.009659033,0.01390999,0.02164963,172.17.160.76,0.0.0.0,1,walking,0,2014-11-13 21:27:24.021,413,2014-11-13 21:27:24.088,0
