time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Activity,Activity Confidence,Activity Start,Steps,Last Step Date,State
2014-11-13 21:24:52.965,29395,979.8334,40.10425,-88.22172,231,-1,-1,10.09077,165,1415935357,-0.9035339,-0.1127319,0.04989624,-37.00638,-25.17483,10.57462,172.9119,175.9951,10,-0.146043,-0.04093651,-0.36588,-1.243069,-1.695667,0.2341635,-0.09298445,0.1204643,-0.3425283,0.05832051,0.1599621,-0.05786891,172.17.160.76,0.0.0.0,3,walking,0,2014-11-13 21:24:48.117,322,2014-11-13 21:24:38.284,0
2014-11-13 21:24:52.998,29396,979.8667,40.10425,-88.22172,231,-1,-1,10.09077,165,1415935357,-0.9341583,-0.1539764,0.08750916,-36.97195,-25.07152,10.87628,172.2103,175.2935,10,-0.1242596,-0.07350484,-0.1740048,-1.244817,-1.69069,0.2336501,-0.06442919,-0.03545739,-0.3052138,0.06231024,0.118798,-0.06646051,172.17.160.76,0.0.0.0,3,walking,0,2014-11-13 21:24:48.117,322,2014-11-13 21:24:38.284,0
2014-11-13 21:24:53.032,29397,979.9,40.10425,-88.22172,231,-1,-1,10.09077,165,1415935357,-0.9349365,-0.1557312,0.1357269,-36.24878,-25.58807,10.90982,171.8886,174.9718,10,-0.02654772,0.01465804,-0.03060638,-1.246232,-1.688528,0.2348638,0.001032051,0.08001286,-0.064938,0.02578077,0.0604541,-0.03173076,172.17.160.76,0.0.0.0,3,walking,0,2014-11-13 21:24:48.117,322,2014-11-13 21:24:38.284,0
2014-11-13 21:24:53.065,29398,979.9334,40.10425,-88.22172,231,-1,-1,10.09077,165,1415935357,-0.9581146,-0.1845551,0.1304016,-36.24878,-25.45033,11.31213,170.5006,173.5838,10,0.06569646,0.06484158,0.1487029,-1.245065,-1.684949,0.2332116,0.06552782,0.1792573,0.1370246,0.02160494,0.06043379,0.03622711,172.17.160.76,0.0.0.0,3,walking,0,2014-11-13 21:24:48.117,322,2014-11-13 21:24:38.284,0
2014-11-13 21:24:53.098,29399,979.9667,40.10425,-88.22172,231,-1,-1,10.09077,165,1415935357,-0.9736786,-0.2254944,0.1659393,-36.55871,-25.34702,11.21155,170.4101,173.4933,10,0.1474677,0.01981179,0.24157,-1.240189,-1.681379,0.2256408,0.1835192,0.05762165,0.2187377,0.01320767,0.01686755,0.04837001,172.17.160.76,0.0.0.0,3,walking,0,2014-11-13 21:24:48.117,322,2014-11-13 21:24:38.284,0
2014-11-13 21:24:53.132,29400,980.0001,40.10425,-88.22172,231,-1,-1,10.09077,165,1415935357,-0.9699097,-0.2299805,0.166153,-36.86864,-25.24371,11.17807,169.7898,172.873,10,0.1334563,0.0255232,0.2936652,-1.236664,-1.680587,0.2202493,0.2143389,0.08765437,0.2580552,-0.00371102,-0.007021524,0.05901635,172.17.160.76,0.0.0.0,3,walking,0,2014-11-13 21:24:48.117,322,2014-11-13 21:24:38.284,0
2014-11-13 21:24:53.165,29401,980.0334,40.10425,-88.22172,231,-1,-1,10.09077,165,1415935357,-0.9706726,-0.2232666,0.1430664,-37.04082,-24.93377,10.74231,170.2442,173.3274,10,0.1217896,0.02005627,0.2724504,-1.229868,-1.678283,0.2073649,0.18541,0.09548192,0.3080943,-0.01063699,-0.02643313,0.05251925,172.17.160.76,0.0.0.0,3,walking,0,2014-11-13 21:24:48.117,322,2014-11-13 21:24:38.284,0
2014-11-13 21:24:53.198,29402,980.0667,40.10425,-88.22172,231,-1,-1,10.09077,165,1415935357,-0.9802094,-0.2097473,0.1308594,-36.7309,-25.03708,10.64169,170.304,173.3872,10,0.1197181,-0.04822878,0.2349467,-1.220935,-1.679142,0.1939344,0.1972522,0.03023445,0.2525,-0.01436826,-0.0321935,0.03604464,172.17.160.76,0.0.0.0,3,walking,0,2014-11-13 21:24:48.117,322,2014-11-13 21:24:38.284,0
2014-11-13 21:24:53.232,29403,980.1,40.10425,-88.22172,231,-1,-1,10.09077,165,1415935357,-0.9885559,-0.2175446,0.1322784,-37.35076,-24.89933,10.70877,169.7402,172.8234,10,0.1059528,-0.05164935,0.2031358,-1.217758,-1.679317,0.1885523,0.1770008,0.02278213,0.2493521,0.01052545,-0.02318005,0.03155175,172.17.160.76,0.0.0.0,3,walking,0,2014-11-13 21:24:48.117,322,2014-11-13 21:24:38.284,0
2014-11-13 21:24:53.265,29404,980.1334,40.10425,-88.22172,231,-1,-1,10.09077,165,1415935357,-0.9941711,-0.2136383,0.1369476,-37.59181,-24.58939,10.67529,169.5129,172.5961,10,0.05069167,-0.04566948,0.1471157,-1.211593,-1.683907,0.1855605,0.1292334,0.003111144,0.1751004,-0.014399,-0.02958338,0.01760832,172.17.160.76,0.0.0.0,3,walking,0,2014-11-13 21:24:48.117,322,2014-11-13 21:24:38.284,0
