time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Activity,Activity Confidence,Activity Start,Steps,Last Step Date,State
2014-11-15 18:18:57.140,48846,1628.2,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.279007,-0.6112518,0.7582397,-6.196789,-33.92316,-9.401794,193.4389,196.5212,15,-0.05313139,-0.08663529,-0.07880693,0.4908864,-2.802572,0.6578999,-0.006703924,-0.0160016,-0.06873282,-0.02574454,0.0161653,0.01882116,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.196,48847,1628.233,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2657928,-0.6017609,0.7480774,-5.681324,-33.61345,-9.234619,193.388,196.4703,15,-0.088377,-0.06303276,-0.05095213,0.4921334,-2.801568,0.6599372,-0.03986382,0.00432363,-0.03986835,-0.009664214,-0.001404175,0.008024213,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.230,48848,1628.267,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2657928,-0.6017609,0.7480774,-5.681324,-33.61345,-9.234619,193.388,196.4703,15,-0.07240762,-0.07043901,-0.04574352,0.4921334,-2.801568,0.6599372,-0.03986382,0.00432363,-0.03986835,-0.009664214,-0.001404175,0.008024213,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.238,48849,1628.3,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2584076,-0.6072693,0.7451477,-5.715691,-33.71669,-9.334961,193.3707,196.453,15,-0.07240762,-0.07043901,-0.04574352,0.4921334,-2.801568,0.6599372,-0.03986382,0.00432363,-0.03986835,-0.009664214,-0.001404175,0.008024213,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.270,48850,1628.333,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.258255,-0.6153412,0.7288055,-5.784416,-33.57904,-9.268066,193.3572,196.4395,15,-0.06288575,-0.07771423,-0.02352636,0.4933724,-2.802439,0.658964,0.005919805,-0.007252542,-0.02205284,0.004625259,0.005028776,-0.000442531,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.304,48851,1628.367,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2626495,-0.6108551,0.7431793,-5.784416,-33.71669,-9.067383,193.3348,196.4171,15,-0.08212043,-0.09143058,-0.01185027,0.4939213,-2.80323,0.6603271,-0.005888861,-0.01983138,0.0002135072,0.003910777,-0.001965986,-0.0162045,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.338,48852,1628.4,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2544861,-0.601532,0.7544403,-6.093693,-33.68227,-8.632629,193.3237,196.406,15,-0.1033123,-0.05980554,-0.04663328,0.4937033,-2.80373,0.6618443,-0.04312871,-0.001900899,-0.01972154,0.001886537,0.006311648,-0.001479646,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.375,48853,1628.433,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2554932,-0.611557,0.7450104,-5.887516,-33.4758,-9.033997,193.3082,196.3905,15,-0.05740843,-0.06105084,-0.06804137,0.4962342,-2.805549,0.6613582,0.006031623,0.01269119,-0.05379585,0.005589952,0.01537337,0.01285503,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.404,48854,1628.467,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2714386,-0.6135864,0.7544861,-5.578236,-33.57904,-9.335022,193.2946,196.377,15,-0.08299076,-0.06530444,-0.07009093,0.4983976,-2.80703,0.6617718,-0.01423026,-0.001122097,-0.05485488,0.002602311,-0.003251759,-0.004165822,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.438,48855,1628.5,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2762146,-0.5987854,0.7654114,-5.234592,-33.51022,-9.602539,193.2749,196.3572,15,-0.07337781,-0.04938619,-0.07216607,0.4988944,-2.807233,0.6621345,-0.01955846,0.002068655,-0.05481789,-0.004656286,-0.001073565,-0.0005897768,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.469,48856,1628.533,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2767944,-0.6180573,0.7422943,-4.787857,-33.81993,-9.636047,193.1995,196.2818,15,-0.03814818,-0.02610644,-0.08279022,0.5026039,-2.806741,0.6606921,0.01577472,0.04321763,-0.09187704,-0.01998949,0.006500974,0.01641647,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.503,48857,1628.567,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2784882,-0.6174622,0.732132,-5.097137,-33.64787,-9.468811,193.1768,196.2591,15,-0.03927177,-0.0174453,-0.06151076,0.5041528,-2.806314,0.6605305,0.02529446,0.04127356,-0.0675069,-0.01811334,-0.006474537,0.006057449,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.539,48858,1628.6,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2591248,-0.6234894,0.7496796,-5.165867,-33.7167,-9.134399,193.1299,196.2122,15,-0.04257223,0.004103931,-0.0221101,0.5046464,-2.803959,0.6604145,0.02726735,0.06721843,-0.008993915,-0.01688363,-0.004017906,-0.01301851,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.574,48859,1628.633,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2566833,-0.6082764,0.7490692,-5.268963,-33.47582,-9.368469,193.0923,196.1746,15,-0.05746676,-0.01512729,-0.03701634,0.5053068,-2.800585,0.6613278,-0.001484832,0.05755885,-0.02379902,0.00559912,0.001646978,0.007470457,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.603,48860,1628.667,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2545776,-0.6221771,0.7450104,-4.994049,-33.68229,-9.301636,193.0681,196.1504,15,-0.03935007,-0.01512036,-0.03496118,0.5067887,-2.800544,0.6605557,0.02298629,0.05431134,-0.0175724,0.0108079,0.004470631,0.004119993,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.636,48861,1628.7,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2667999,-0.6152954,0.7367859,-5.20023,-33.54463,-9.36853,193.0348,196.1171,15,-0.07129602,-0.03116325,-0.05084827,0.5085679,-2.800159,0.6608177,0.0006271633,0.03934008,-0.03136884,-0.002051334,-0.007193787,-0.001898031,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.672,48862,1628.733,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2676544,-0.6114502,0.7391663,-5.062775,-33.54463,-9.234741,193.0139,196.0962,15,-0.07980695,-0.03759052,-0.05828062,0.5085679,-2.800159,0.6608177,0.0006271633,0.03934008,-0.03136884,-0.002051334,-0.007193787,-0.001898031,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
2014-11-15 18:18:57.704,48863,1628.767,40.10482,-88.22184,233.4931,1.06,168.0469,12,10,1416097137,-0.2645721,-0.6211853,0.7428284,-5.406418,-33.54464,-9.569153,192.9843,196.0666,15,-0.05425898,-0.02366964,-0.04238075,0.5108142,-2.799243,0.6624049,0.002753182,0.03402724,-0.03140391,-0.005619057,-0.002431968,0.001567005,172.17.160.76,10.64.29.0,1,unknown,2,2014-11-15 18:18:55.815,134,2014-11-15 18:16:20.024,3
