time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Activity,Activity Confidence,Activity Start,Steps,Last Step Date,State
2014-11-15 18:16:36.503,44627,1487.567,40.10471,-88.22189,234.5692,0.16,58.71094,8,10,1416096996,-0.4174652,0.7387238,-0.6049042,-30.30998,5.12677,7.043396,81.25291,84.33522,15,0.1027112,-0.06272064,-0.1387075,2.159575,-0.6277686,-0.7596987,0.1712826,-0.02979661,-0.1212048,0.0173542,0.02347041,-0.002197703,172.17.160.76,10.64.29.0,5,walking,0,2014-11-15 18:16:29.870,134,2014-11-15 18:16:20.024,3
2014-11-15 18:16:36.536,44628,1487.6,40.10471,-88.22189,234.5692,0.16,58.71094,8,10,1416096996,-0.4464417,0.7071228,-0.5915833,-30.13805,5.161209,6.608368,81.27673,84.35904,15,0.118643,-0.06471002,-0.119671,2.160884,-0.6256135,-0.7553775,0.1808573,0.02666282,-0.1018309,-0.009821518,0.04633954,-0.003131639,172.17.160.76,10.64.29.0,5,walking,0,2014-11-15 18:16:29.870,134,2014-11-15 18:16:20.024,3
2014-11-15 18:16:36.570,44629,1487.633,40.10471,-88.22189,234.5692,0.16,58.71094,8,10,1416096996,-0.4216614,0.6963501,-0.5737152,-30.10366,4.989021,6.842621,81.28477,84.36709,15,0.09302714,-0.08804251,-0.115452,2.16176,-0.6252344,-0.7493458,0.1669446,-0.02323296,-0.09673421,-0.01509436,0.01201633,0.01666843,172.17.160.76,10.64.29.0,5,walking,0,2014-11-15 18:16:29.870,134,2014-11-15 18:16:20.024,3
2014-11-15 18:16:36.604,44630,1487.667,40.10471,-88.22189,234.5692,0.16,58.71094,8,10,1416096996,-0.3942261,0.6585388,-0.5709686,-30.10366,4.438049,6.641785,81.33042,84.41273,15,0.1293268,-0.02112473,-0.1162971,2.161448,-0.6259847,-0.7429817,0.1648665,0.02133123,-0.1049831,0.004453086,0.02569212,0.02332669,172.17.160.76,10.64.29.0,5,walking,0,2014-11-15 18:16:29.870,134,2014-11-15 18:16:20.024,3
2014-11-15 18:16:36.637,44631,1487.7,40.10471,-88.22189,234.5692,0.16,58.71094,8,10,1416096996,-0.4017639,0.6062622,-0.5268402,-29.89735,4.50692,6.507965,81.40097,84.48328,15,0.1665767,-0.03589195,-0.09953059,2.162757,-0.6237952,-0.7376904,0.2085657,0.04793838,-0.09651214,0.04191227,-0.03499202,0.04627105,172.17.160.76,10.64.29.0,5,walking,0,2014-11-15 18:16:29.870,134,2014-11-15 18:16:20.024,3
2014-11-15 18:16:36.670,44632,1487.733,40.10471,-88.22189,234.5692,0.16,58.71094,8,10,1416096996,-0.3665924,0.5812683,-0.5376129,-29.93173,4.6791,6.340637,81.43349,84.51581,15,0.1697422,-0.06242663,-0.09543625,2.164339,-0.6219388,-0.7330633,0.2287688,0.02995965,-0.08394475,0.03119142,-0.062887,0.07713745,172.17.160.76,10.64.29.0,5,walking,0,2014-11-15 18:16:29.870,134,2014-11-15 18:16:20.024,3
2014-11-15 18:16:36.702,44633,1487.767,40.10471,-88.22189,234.5692,0.16,58.71094,8,10,1416096996,-0.3980713,0.568222,-0.5229492,-29.69105,4.782417,5.77179,81.52016,84.60248,15,0.1418559,-0.0907355,-0.04665272,2.168269,-0.6190197,-0.723888,0.2233301,0.005745659,-0.05433052,0.06077229,-0.07581586,0.0762325,172.17.160.76,10.64.29.0,5,walking,0,2014-11-15 18:16:29.870,134,2014-11-15 18:16:20.024,3
2014-11-15 18:16:36.736,44634,1487.8,40.10471,-88.22189,234.5692,0.16,58.71094,8,10,1416096996,-0.368927,0.5392914,-0.5316925,-30.2412,4.300316,5.437134,81.6534,84.73572,15,0.09281383,-0.07792782,-0.04215571,2.171965,-0.6171888,-0.7182461,0.1954794,-0.04288086,-0.02263793,0.03770106,-0.089843,0.09109707,172.17.160.76,10.64.29.0,5,walking,0,2014-11-15 18:16:29.870,134,2014-11-15 18:16:20.024,3
2014-11-15 18:16:36.770,44635,1487.833,40.10471,-88.22189,234.5692,0.16,58.71094,8,10,1416096996,-0.3292542,0.5137177,-0.5037384,-30.55066,4.197006,5.269836,81.74309,84.8254,15,-0.01383805,-0.006432599,-0.008473912,2.175686,-0.6136297,-0.7120958,0.06977049,0.08578011,-0.01830537,0.09540665,-0.1493323,0.1012362,172.17.160.76,10.64.29.0,5,walking,0,2014-11-15 18:16:29.870,134,2014-11-15 18:16:20.024,3
2014-11-15 18:16:36.803,44636,1487.867,40.10471,-88.22189,234.5692,0.16,58.71094,8,10,1416096996,-0.3713531,0.5054169,-0.5163116,-30.4819,4.197014,5.002106,83.81966,86.90198,15,-0.01622025,-0.1601732,0.03530766,2.177553,-0.6119257,-0.7113193,0.04814045,-0.05609486,0.04790179,0.08954632,-0.1335771,0.1215735,172.17.160.76,10.64.29.0,5,walking,0,2014-11-15 18:16:29.870,134,2014-11-15 18:16:20.024,3
2014-11-15 18:16:36.836,44637,1487.9,40.10471,-88.22189,234.5692,0.16,58.71094,8,10,1416096996,-0.3880615,0.5101166,-0.5348206,-30.9289,4.506935,5.437103,83.78198,86.8643,15,-0.05864228,-0.08831042,-0.01935213,2.179824,-0.6131371,-0.7110302,0.0279376,-0.07537974,0.02558467,0.0598729,-0.1490899,0.08608975,172.17.160.76,10.64.29.0,5,walking,0,2014-11-15 18:16:29.870,134,2014-11-15 18:16:20.024,3
2014-11-15 18:16:36.870,44638,1487.933,40.10471,-88.22189,234.5692,0.16,58.71094,8,10,1416096996,-0.3488159,0.5419769,-0.5282898,-30.75698,4.403625,5.671356,83.56251,86.64482,15,-0.09795319,-0.05136332,-0.05403927,2.178008,-0.6134155,-0.7111794,-0.04311753,0.04843152,-0.04245364,0.04614961,-0.1253382,0.08358467,172.17.160.76,10.64.29.0,5,walking,0,2014-11-15 18:16:29.870,134,2014-11-15 18:16:20.024,3
2014-11-15 18:16:36.903,44639,1487.967,40.10471,-88.22189,234.5692,0.16,58.71094,8,10,1416096996,-0.3547974,0.564621,-0.5378113,-30.34435,3.990395,5.872101,83.71046,86.79277,15,-0.05124534,-0.1328635,-0.008999621,2.176869,-0.6141292,-0.7113347,-0.01767687,-0.03319409,-0.01538028,0.08768615,-0.1108684,0.09078926,172.17.160.76,10.64.29.0,5,walking,0,2014-11-15 18:16:29.870,134,2014-11-15 18:16:20.024,3
