time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Activity,Activity Confidence,Activity Start,Steps,Last Step Date,State
2014-11-13 21:43:50.253,14312,477.0667,40.10425,-88.22172,231,-1,-1,10,165,1415935777,-0.5699615,-0.7885437,0.200943,-23.80658,-19.95323,10.59836,80.69672,83.77991,10,-0.00513777,-0.04625645,-0.07558957,3.038127,-1.912201,0.9192453,0.04172834,-0.003152844,-0.05673554,0.003916247,0.005196658,-0.001101253,172.17.160.76,0.0.0.0,1,stationary,1,2014-11-13 21:43:49.874,669,2014-11-13 21:42:44.967,0
2014-11-13 21:43:50.287,14313,477.1,40.10425,-88.22172,231,-1,-1,10,165,1415935777,-0.5602112,-0.8039551,0.2007599,-24.35791,-20.15993,10.73233,80.39251,83.4757,10,0.02150263,-0.01430384,-0.06384476,3.044424,-1.915708,0.9209037,0.07799463,0.04255278,-0.05238465,0.002721817,-0.004815566,-0.006838693,172.17.160.76,0.0.0.0,1,stationary,1,2014-11-13 21:43:49.874,669,2014-11-13 21:42:44.967,0
2014-11-13 21:43:50.320,14314,477.1334,40.10425,-88.22172,231,-1,-1,10,165,1415935777,-0.5669556,-0.8318939,0.2033691,-24.42683,-20.22881,10.5314,80.36463,83.44782,10,0.04058391,-0.03427115,-0.03323838,3.049036,-1.917761,0.9221154,0.08969155,0.05645672,-0.03962053,0.01045657,-0.009652383,-0.004627631,172.17.160.76,0.0.0.0,1,stationary,1,2014-11-13 21:43:49.874,669,2014-11-13 21:42:44.967,0
2014-11-13 21:43:50.353,14315,477.1667,40.10425,-88.22172,231,-1,-1,10,165,1415935777,-0.5696106,-0.8499603,0.1972198,-24.15116,-20.22881,10.73227,80.33532,83.41851,10,0.04487213,-0.04923759,-0.04500955,3.053858,-1.920355,0.9229528,0.1097101,0.02359755,-0.01436792,0.001253333,-0.04370793,-0.007535046,172.17.160.76,0.0.0.0,1,stationary,1,2014-11-13 21:43:49.874,669,2014-11-13 21:42:44.967,0
2014-11-13 21:43:50.387,14316,477.2,40.10425,-88.22172,231,-1,-1,10,165,1415935777,-0.5678406,-0.8213196,0.1848907,-23.49646,-20.05656,10.69876,80.35764,83.44083,10,0.0193713,-0.06008251,-0.07575415,3.058801,-1.923497,0.9243544,0.09699219,0.01382569,-0.0430386,-0.004339262,-0.05172827,-0.01085204,172.17.160.76,0.0.0.0,1,stationary,1,2014-11-13 21:43:49.874,669,2014-11-13 21:42:44.967,0
2014-11-13 21:43:50.420,14317,477.2334,40.10425,-88.22172,231,-1,-1,10,165,1415935777,-0.5577698,-0.8060608,0.1817322,-23.49646,-20.12547,10.63177,80.36207,83.44526,10,0.008714662,-0.03347221,-0.07026671,3.063782,-1.927206,0.9250844,0.07678934,0.01157438,-0.06102009,-0.003891116,-0.02264803,-0.02507297,172.17.160.76,0.0.0.0,1,stationary,1,2014-11-13 21:43:49.874,669,2014-11-13 21:42:44.967,0
2014-11-13 21:43:50.453,14318,477.2667,40.10425,-88.22172,231,-1,-1,10,165,1415935777,-0.54776,-0.8027496,0.1946106,-23.90997,-19.64319,10.56482,80.32458,83.40777,10,0.000154996,0.001741707,-0.05094254,3.066956,-1.927101,0.9272169,0.07248407,0.05850304,-0.03846841,0.007961106,-0.006504529,-0.02350392,172.17.160.76,0.0.0.0,1,stationary,1,2014-11-13 21:43:49.874,669,2014-11-13 21:42:44.967,0
2014-11-13 21:43:50.487,14319,477.3,40.10425,-88.22172,231,-1,-1,10,165,1415935777,-0.5282135,-0.7901917,0.203949,-24.01333,-19.95323,10.53128,80.24305,83.32624,10,-0.03832155,0.03287992,-0.01029818,3.069438,-1.925509,0.9290275,0.0265757,0.0906213,-0.009472911,0.02620641,0.01194514,-0.008417538,172.17.160.76,0.0.0.0,1,stationary,1,2014-11-13 21:43:49.874,669,2014-11-13 21:42:44.967,0
2014-11-13 21:43:50.520,14320,477.3333,40.10425,-88.22172,231,-1,-1,10,165,1415935777,-0.5115204,-0.8167877,0.2117157,-23.94441,-19.74654,10.73218,80.2285,83.31169,10,-0.05118303,0.01389531,0.007695204,3.070291,-1.923158,0.9284475,0.01889821,0.09926319,0.0225039,0.04748475,-0.002760682,0.00201964,172.17.160.76,0.0.0.0,1,stationary,1,2014-11-13 21:43:49.874,669,2014-11-13 21:42:44.967,0
2014-11-13 21:43:50.553,14321,477.3667,40.10425,-88.22172,231,-1,-1,10,165,1415935777,-0.526947,-0.8156738,0.209549,-24.32344,-19.84989,10.29688,80.11523,83.19843,10,-0.06193234,-0.09978971,0.008198275,3.070839,-1.9222,0.9286291,0.004971168,0.008948053,0.02207597,0.04811065,-0.01655267,0.001479388,172.17.160.76,0.0.0.0,1,stationary,1,2014-11-13 21:43:49.874,669,2014-11-13 21:42:44.967,0
