time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Activity,Activity Confidence,Activity Start,Steps,Last Step Date,State
2014-11-13 21:51:33.919,3493,116.4333,0,0,0,0,0,0,0,-1,0.736557,-0.6585236,0.1362762,33.36136,-11.97865,6.10025,307.466,310.5492,10,-0.05129328,-0.04331738,0.02968546,-0.1723032,1.74489,0.7211969,0.01771581,0.01542213,0.06432743,-0.01001871,-0.005029637,0.01168153,172.17.160.76,0.0.0.0,4,unknown,2,2014-11-13 21:51:26.977,0,2014-11-13 21:44:53.658,0
2014-11-13 21:51:33.953,3494,116.4667,0,0,0,0,0,0,0,-1,0.7410278,-0.6585083,0.1335907,33.3269,-12.01311,6.200806,307.2349,310.3181,10,-0.03845338,-0.04024782,0.01479279,-0.173789,1.747128,0.7223424,0.02423513,0.03320239,0.03044665,-0.002068527,0.002620299,0.004666521,172.17.160.76,0.0.0.0,4,unknown,2,2014-11-13 21:51:26.977,0,2014-11-13 21:44:53.658,0
2014-11-13 21:51:33.986,3495,116.5,0,0,0,0,0,0,0,-1,0.7471008,-0.6503296,0.130188,33.80928,-11.94419,5.731506,307.3087,310.3919,10,-0.02462252,-0.09022097,0.0112934,-0.1757746,1.748835,0.7226667,0.03915192,-0.01149884,0.02166141,0.01231484,0.009791062,-0.002034269,172.17.160.76,0.0.0.0,4,unknown,2,2014-11-13 21:51:26.977,0,2014-11-13 21:44:53.658,0
2014-11-13 21:51:34.019,3496,116.5333,0,0,0,0,0,0,0,-1,0.7381897,-0.65271,0.1318512,33.637,-12.04755,5.698029,307.3523,310.4355,10,-0.006481069,-0.1126325,-0.0005688512,-0.176961,1.748954,0.7226269,0.0454922,-0.04330086,0.03208309,0.008215446,0.007960706,0.0001924052,172.17.160.76,0.0.0.0,4,unknown,2,2014-11-13 21:51:26.977,0,2014-11-13 21:44:53.658,0
2014-11-13 21:51:34.053,3497,116.5667,0,0,0,0,0,0,0,-1,0.740799,-0.6488953,0.1290588,33.74037,-12.01309,5.731506,307.4536,310.5367,10,-0.0118018,-0.1041371,-0.001565672,-0.1806816,1.748629,0.7223773,0.05080672,-0.05923625,0.03303663,-0.01127729,0.006171285,-0.002404444,172.17.160.76,0.0.0.0,4,unknown,2,2014-11-13 21:51:26.977,0,2014-11-13 21:44:53.658,0
2014-11-13 21:51:34.085,3498,116.6,0,0,0,0,0,0,0,-1,0.7277832,-0.6552887,0.1251678,33.46473,-12.01309,6.066681,307.4855,310.5687,10,-0.01185293,-0.09975083,0.01650281,-0.1820363,1.748473,0.7223165,0.05513779,-0.03811485,0.01614652,0.001769767,0.01566243,-0.003074552,172.17.160.76,0.0.0.0,4,unknown,2,2014-11-13 21:51:26.977,0,2014-11-13 21:44:53.658,0
2014-11-13 21:51:34.119,3499,116.6333,0,0,0,0,0,0,0,-1,0.730545,-0.6586304,0.1207123,33.56809,-12.11646,6.636505,307.4589,310.5421,10,-0.02038144,-0.1082634,0.01436696,-0.1858586,1.748237,0.723243,0.04874657,-0.0316844,0.02682274,-0.001259297,0.004546987,-0.009796121,172.17.160.76,0.0.0.0,4,unknown,2,2014-11-13 21:51:26.977,0,2014-11-13 21:44:53.658,0
2014-11-13 21:51:34.152,3500,116.6667,0,0,0,0,0,0,0,-1,0.7434387,-0.6607819,0.1186829,33.60255,-12.21983,6.602997,307.4329,310.5161,10,-0.02785587,-0.1241986,0.01431103,-0.1863974,1.748074,0.7235217,0.04658986,-0.04227008,0.03208265,-0.007187586,0.003397844,-0.01145885,172.17.160.76,0.0.0.0,4,unknown,2,2014-11-13 21:51:26.977,0,2014-11-13 21:44:53.658,0
2014-11-13 21:51:34.186,3501,116.7,0,0,0,0,0,0,0,-1,0.7316895,-0.6644135,0.1194611,33.70591,-12.25429,6.770569,307.398,310.4812,10,-0.02784069,-0.133818,0.006829943,-0.1872452,1.747254,0.7240106,0.03911407,-0.05820703,0.03202626,0.0006371457,0.007182155,-0.01238395,172.17.160.76,0.0.0.0,4,unknown,2,2014-11-13 21:51:26.977,0,2014-11-13 21:44:53.658,0
2014-11-13 21:51:34.219,3502,116.7333,0,0,0,0,0,0,0,-1,0.7180939,-0.6569214,0.1319275,32.60335,-12.11647,5.832062,307.3879,310.4711,10,-0.04919391,-0.1124355,0.02294473,-0.1894743,1.743702,0.7264807,0.01667268,-0.07084604,0.04584533,-0.02041279,0.001141857,0.001474196,172.17.160.76,0.0.0.0,4,unknown,2,2014-11-13 21:51:26.977,0,2014-11-13 21:44:53.658,0
